engine	scale	status	semantics_or_reason	memory_scope	memory_limit_scope
sqlite-count	2x200	ok	native RelStore specialized incremental cascade; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=d21ac679d2ae1b63; survivor blake3=871dc3852156956e	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
sqlite-count	6x2000	ok	native RelStore specialized incremental cascade; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=6035d0f3b9cf2bb5; survivor blake3=979516e118581f07	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
sqlite-count	8x20000	ok	native RelStore specialized incremental cascade; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=fea9e9d65d21ef13; survivor blake3=239d2120ef6ba1c3	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
sqlite-count-scc	2x200	ok	native RelStore specialized incremental cascade; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=d21ac679d2ae1b63; survivor blake3=871dc3852156956e	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
sqlite-count-scc	6x2000	ok	native RelStore specialized incremental cascade; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=6035d0f3b9cf2bb5; survivor blake3=979516e118581f07	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
sqlite-count-scc	8x20000	ok	native RelStore specialized incremental cascade; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=fea9e9d65d21ef13; survivor blake3=239d2120ef6ba1c3	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
sqlite-dred-loop	2x200	ok	native RelStore specialized incremental cascade; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=d21ac679d2ae1b63; survivor blake3=871dc3852156956e	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
sqlite-dred-loop	6x2000	ok	native RelStore specialized incremental cascade; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=6035d0f3b9cf2bb5; survivor blake3=979516e118581f07	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
sqlite-dred-loop	8x20000	ok	native RelStore specialized incremental cascade; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=fea9e9d65d21ef13; survivor blake3=239d2120ef6ba1c3	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
sqlite-dred-cte	2x200	ok	native RelStore specialized incremental cascade; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=d21ac679d2ae1b63; survivor blake3=871dc3852156956e	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
sqlite-dred-cte	6x2000	ok	native RelStore specialized incremental cascade; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=6035d0f3b9cf2bb5; survivor blake3=979516e118581f07	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
sqlite-dred-cte	8x20000	ok	native RelStore specialized incremental cascade; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=fea9e9d65d21ef13; survivor blake3=239d2120ef6ba1c3	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
sqlite-signed-delta-v2	2x200	ok	full recursive recomputation from implicit zero-indegree roots excluding current seeds; validated single deletion only; repeated deletion and disconnected zero-weight cases fail sequence checks; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=d21ac679d2ae1b63; survivor blake3=871dc3852156956e	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
sqlite-signed-delta-v2	6x2000	ok	full recursive recomputation from implicit zero-indegree roots excluding current seeds; validated single deletion only; repeated deletion and disconnected zero-weight cases fail sequence checks; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=6035d0f3b9cf2bb5; survivor blake3=979516e118581f07	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
sqlite-signed-delta-v2	8x20000	ok	full recursive recomputation from implicit zero-indegree roots excluding current seeds; validated single deletion only; repeated deletion and disconnected zero-weight cases fail sequence checks; materialize and count inside clocks; exact initial and survivor sets validated outside clocks; tagged-node input blake3=fea9e9d65d21ef13; survivor blake3=239d2120ef6ba1c3	process peak RSS includes setup and oracle; separate Rust allocation and SQLite C-heap high-water columns	DL_MEMCAP_MB=4096 caps live Rust allocations; SQLite C heap and total RSS are unenforced
tsv2-runtime	2x200	ok	compile_dl6 emitted program.tick through IncrementalRuntime; emitted recursive DRed plan; setup loads edges in 1000-row batches then roots; exact input edges and before/after sets match shared BFS outside clocks; count inside clocks	Node process RSS sampled after validation; in-memory libSQL store	DL_MEMCAP_MB limits Node old-space only; SQLite C heap and total RSS unenforced
tsv2-runtime	6x2000	ok	compile_dl6 emitted program.tick through IncrementalRuntime; emitted recursive DRed plan; setup loads edges in 1000-row batches then roots; exact input edges and before/after sets match shared BFS outside clocks; count inside clocks	Node process RSS sampled after validation; in-memory libSQL store	DL_MEMCAP_MB limits Node old-space only; SQLite C heap and total RSS unenforced
tsv2-runtime	8x20000	ok	compile_dl6 emitted program.tick through IncrementalRuntime; emitted recursive DRed plan; setup loads edges in 1000-row batches then roots; exact input edges and before/after sets match shared BFS outside clocks; count inside clocks	Node process RSS sampled after validation; in-memory libSQL store	DL_MEMCAP_MB limits Node old-space only; SQLite C heap and total RSS unenforced
sprefa-engine-rs	2x200	ok	compile_dl6 emit_rust program through drive_tick_transacted and GenProgram::run_tick; exact input edges and before/after sets match shared BFS outside clocks; count inside clocks	child-process peak RSS from time; in-memory rusqlite store	DL_MEMCAP_MB requested but unenforced for this adapter
sprefa-engine-rs	6x2000	ok	compile_dl6 emit_rust program through drive_tick_transacted and GenProgram::run_tick; exact input edges and before/after sets match shared BFS outside clocks; count inside clocks	child-process peak RSS from time; in-memory rusqlite store	DL_MEMCAP_MB requested but unenforced for this adapter
sprefa-engine-rs	8x20000	ok	compile_dl6 emit_rust program through drive_tick_transacted and GenProgram::run_tick; exact input edges and before/after sets match shared BFS outside clocks; count inside clocks	child-process peak RSS from time; in-memory rusqlite store	DL_MEMCAP_MB requested but unenforced for this adapter
