case	category	status	detail	edges	python
dynamic/eval	dynamic	ok		1	Python 3.14.6
exceptions/raise	exceptions	error	A:  at main.py:5	1	Python 3.14.6
exceptions/raise_assigned	exceptions	error	A:  at main.py:6	1	Python 3.14.6
exceptions/raise_attr	exceptions	error	B:  at main.py:6	1	Python 3.14.6
external/attribute	external	error	ModuleNotFoundError: No module named 'ext' at main.py:1	0	Python 3.14.6
external/attribute_assigned	external	error	ModuleNotFoundError: No module named 'ext' at main.py:1	0	Python 3.14.6
external/cls_parent	external	error	ModuleNotFoundError: No module named 'ext' at main.py:1	0	Python 3.14.6
external/function	external	error	ModuleNotFoundError: No module named 'ext' at main.py:1	0	Python 3.14.6
external/function_asname	external	error	ModuleNotFoundError: No module named 'ext' at main.py:1	0	Python 3.14.6
external/function_assigned	external	error	ModuleNotFoundError: No module named 'ext' at main.py:1	0	Python 3.14.6
functions/assigned_call	functions	ok		1	Python 3.14.6
functions/assigned_call_lit_param	functions	ok		1	Python 3.14.6
functions/call	functions	ok		1	Python 3.14.6
functions/imported_call	functions	ok		1	Python 3.14.6
generators/iter_param	generators	ok		4	Python 3.14.6
generators/iter_return	generators	ok		4	Python 3.14.6
generators/iterable	generators	ok		3	Python 3.14.6
generators/iterable_assigned	generators	ok		3	Python 3.14.6
generators/no_iter	generators	ok		1	Python 3.14.6
generators/yield	generators	ok		2	Python 3.14.6
imports/chained_import	imports	ok		2	Python 3.14.6
imports/import_all	imports	ok		2	Python 3.14.6
imports/import_as	imports	ok		0	Python 3.14.6
imports/import_from	imports	ok		1	Python 3.14.6
imports/init_func_import	imports	ok		2	Python 3.14.6
imports/init_import	imports	ok		1	Python 3.14.6
imports/parent_import	imports	ok		0	Python 3.14.6
imports/relative_import	imports	ok		0	Python 3.14.6
imports/relative_import_with_name	imports	ok		2	Python 3.14.6
imports/simple_import	imports	ok		0	Python 3.14.6
imports/submodule_import	imports	ok		0	Python 3.14.6
imports/submodule_import_all	imports	ok		2	Python 3.14.6
imports/submodule_import_as	imports	ok		0	Python 3.14.6
imports/submodule_import_from	imports	ok		2	Python 3.14.6
kwargs/assigned_call	kwargs	ok		2	Python 3.14.6
kwargs/call	kwargs	ok		4	Python 3.14.6
kwargs/chained_call	kwargs	ok		3	Python 3.14.6
lambdas/call	lambdas	ok		1	Python 3.14.6
lambdas/calls_parameter	lambdas	ok		3	Python 3.14.6
lambdas/chained_calls	lambdas	error	TypeError: <lambda>() missing 1 required positional argument: 'x' at main.py:9	2	Python 3.14.6
lambdas/parameter_call	lambdas	error	TypeError: <lambda>() missing 1 required positional argument: 'x' at main.py:2	2	Python 3.14.6
lambdas/return_call	lambdas	error	TypeError: func.<locals>.<lambda>() missing 1 required positional argument: 'x' at main.py:5	2	Python 3.14.6
lists/comprehension_if	lists	ok		1	Python 3.14.6
lists/comprehension_val	lists	ok		1	Python 3.14.6
lists/ext_index	lists	ok		1	Python 3.14.6
lists/nested	lists	ok		1	Python 3.14.6
lists/nested_comprehension	lists	ok		2	Python 3.14.6
lists/param_index	lists	ok		2	Python 3.14.6
lists/simple	lists	ok		4	Python 3.14.6
lists/slice	lists	ok		1	Python 3.14.6
mro/basic	mro	ok		1	Python 3.14.6
mro/basic_init	mro	ok		2	Python 3.14.6
mro/parents_same_superclass	mro	ok		2	Python 3.14.6
mro/self_assignment	mro	ok		3	Python 3.14.6
mro/super_call	mro	ok		2	Python 3.14.6
mro/two_parents	mro	ok		2	Python 3.14.6
mro/two_parents_method_defined	mro	ok		2	Python 3.14.6
returns/call	returns	ok		2	Python 3.14.6
returns/imported_call	returns	ok		2	Python 3.14.6
returns/nested_import_call	returns	ok		2	Python 3.14.6
returns/return_complex	returns	error	TypeError: func4() missing 1 required positional argument: 'a' at main.py:16	2	Python 3.14.6
