engine	scale	actual_sha256	expected_sha256
sqlite-dred-loop	8x20000	0f2fb9996c0c8b20d2c7f6526c9c614413ce6bcb2e3f65ae44f1dc4fa0915e41	0f2fb9996c0c8b20d2c7f6526c9c614413ce6bcb2e3f65ae44f1dc4fa0915e41
sqlite-dred-cte	2x200	0dda99eadff144d9a4065cfa603e29e6282c93d87ad25f2c14e0bb88ad1cd0a9	0dda99eadff144d9a4065cfa603e29e6282c93d87ad25f2c14e0bb88ad1cd0a9
sqlite-dred-cte	6x2000	55160e384ef11aad18268e39a8f4b7550e855816d4a54bbc812ebc7cf07fb27b	55160e384ef11aad18268e39a8f4b7550e855816d4a54bbc812ebc7cf07fb27b
sqlite-dred-cte	8x20000	0f2fb9996c0c8b20d2c7f6526c9c614413ce6bcb2e3f65ae44f1dc4fa0915e41	0f2fb9996c0c8b20d2c7f6526c9c614413ce6bcb2e3f65ae44f1dc4fa0915e41
sqlite-signed-delta-v2	2x200	0dda99eadff144d9a4065cfa603e29e6282c93d87ad25f2c14e0bb88ad1cd0a9	0dda99eadff144d9a4065cfa603e29e6282c93d87ad25f2c14e0bb88ad1cd0a9
sqlite-signed-delta-v2	6x2000	55160e384ef11aad18268e39a8f4b7550e855816d4a54bbc812ebc7cf07fb27b	55160e384ef11aad18268e39a8f4b7550e855816d4a54bbc812ebc7cf07fb27b
sqlite-signed-delta-v2	8x20000	0f2fb9996c0c8b20d2c7f6526c9c614413ce6bcb2e3f65ae44f1dc4fa0915e41	0f2fb9996c0c8b20d2c7f6526c9c614413ce6bcb2e3f65ae44f1dc4fa0915e41
tsv2-runtime	2x200	0dda99eadff144d9a4065cfa603e29e6282c93d87ad25f2c14e0bb88ad1cd0a9	0dda99eadff144d9a4065cfa603e29e6282c93d87ad25f2c14e0bb88ad1cd0a9
tsv2-runtime	6x2000	55160e384ef11aad18268e39a8f4b7550e855816d4a54bbc812ebc7cf07fb27b	55160e384ef11aad18268e39a8f4b7550e855816d4a54bbc812ebc7cf07fb27b
tsv2-runtime	8x20000	0f2fb9996c0c8b20d2c7f6526c9c614413ce6bcb2e3f65ae44f1dc4fa0915e41	0f2fb9996c0c8b20d2c7f6526c9c614413ce6bcb2e3f65ae44f1dc4fa0915e41
sprefa-engine-rs	2x200	0dda99eadff144d9a4065cfa603e29e6282c93d87ad25f2c14e0bb88ad1cd0a9	0dda99eadff144d9a4065cfa603e29e6282c93d87ad25f2c14e0bb88ad1cd0a9
sprefa-engine-rs	6x2000	55160e384ef11aad18268e39a8f4b7550e855816d4a54bbc812ebc7cf07fb27b	55160e384ef11aad18268e39a8f4b7550e855816d4a54bbc812ebc7cf07fb27b
sprefa-engine-rs	8x20000	0f2fb9996c0c8b20d2c7f6526c9c614413ce6bcb2e3f65ae44f1dc4fa0915e41	0f2fb9996c0c8b20d2c7f6526c9c614413ce6bcb2e3f65ae44f1dc4fa0915e41
